5967937,5591305,2468314
5714272,5591305,2468314
1164868,5591305,2468314
7576962,5591305,2468314
453879,5591305,2468314
7368035,5591305,2468314
6856216,5591305,2468314
3226795,5591305,2468314
6990204,5591305,2468314
315300,5591305,2468314
3228951,5591305,2468314
6169318,5591305,2468314
9014963,5591305,2468314
3619557,5591305,2468314
133966,5591305,2468314
1735859,5591305,2468314
2573759,5591305,2468314
4603984,5591305,2468314
7143933,5591305,2468314
183976,5591305,2468314
292256,5591305,2468314
5591305,5591305,2468314
276438,5591305,2468314
7684249,5591305,2468314
3996579,5591305,2468314
8093189,5591305,2468314
618725,5591305,2468314
5646037,5591305,2468314
2503960,5591305,2468314
3107981,5591305,2468314
90004,5591305,2468314
5285106,5591305,2468314
6795666,5591305,2468314
2439720,5591305,2468314
2445709,5591305,2468314
7872290,5591305,2468314
8653966,5591305,2468314
488005,5591305,2468314
1658618,5591305,2468314
5703798,5591305,2468314
3401791,5591305,2468314
2417203,5591305,2468314
7830058,5591305,2468314
51416,5591305,2468314
1548122,5591305,2468314
4292004,5591305,2468314
4717505,5591305,2468314
8478956,5591305,2468314
6378564,5591305,2468314
3003122,5591305,2468314
7717117,5591305,2468314
6871078,5591305,2468314
7565003,5591305,2468314
3006504,5591305,2468314
163543,5591305,2468314
413033,5591305,2468314
72173,5591305,2468314
4143071,5591305,2468314
4989932,5591305,2468314
870018,5591305,2468314
6885148,5591305,2468314
7448953,5591305,2468314
7232396,5591305,2468314
2468314,2468314,5591305
4659073,5591305,2468314
770031,5591305,2468314
7357260,5591305,2468314
3400270,5591305,2468314
1399936,5591305,2468314
1082135,5591305,2468314
205540,5591305,2468314
7133415,5591305,2468314
276593,5591305,2468314
5660441,5591305,2468314
3662845,5591305,2468314
4855196,5591305,2468314
5488523,5591305,2468314
5991843,5591305,2468314
5190145,5591305,2468314
5426684,5591305,2468314
3635000,5591305,2468314
116001,5591305,2468314
4463774,5591305,2468314
2185175,5591305,2468314
5857433,5591305,2468314
151792,5591305,2468314
7031468,5591305,2468314
852705,5591305,2468314
6381162,5591305,2468314
6721979,5591305,2468314
444964,5591305,2468314
1699837,5591305,2468314
2788206,5591305,2468314
3999070,5591305,2468314
2363661,5591305,2468314
86269,5591305,2468314
5158927,5591305,2468314
5916675,5591305,2468314
1560940,5591305,2468314
5481094,5591305,2468314
